id,grid_type,game_id,game_event_id,player_id,player_name,team_id,team_name,period,minutes_remaining,seconds_remaining,event_type,action_type,shot_type,shot_zone_basic,shot_zone_area,shot_zone_range,shot_distance,loc_x,loc_y,shot_attempted_flag,shot_made_flag,game_date,htm,vtm,current_team
212787,Shot Chart Detail,21800011,17,201937,Ricky Rubio,1610612762,Utah Jazz,1,10,52,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,16,22,1,0,20181017,SAC,UTA,Suns
212788,Shot Chart Detail,21800011,30,201937,Ricky Rubio,1610612762,Utah Jazz,1,9,31,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,-36,135,1,0,20181017,SAC,UTA,Suns
212789,Shot Chart Detail,21800011,89,201937,Ricky Rubio,1610612762,Utah Jazz,1,7,49,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-162,34,1,0,20181017,SAC,UTA,Suns
212790,Shot Chart Detail,21800011,358,201937,Ricky Rubio,1610612762,Utah Jazz,3,10,22,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,52,127,1,0,20181017,SAC,UTA,Suns
212791,Shot Chart Detail,21800024,12,201937,Ricky Rubio,1610612762,Utah Jazz,1,11,17,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-193,143,1,0,20181019,UTA,GSW,Suns
212792,Shot Chart Detail,21800024,72,201937,Ricky Rubio,1610612762,Utah Jazz,1,6,43,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,123,50,1,0,20181019,UTA,GSW,Suns
212793,Shot Chart Detail,21800024,96,201937,Ricky Rubio,1610612762,Utah Jazz,1,5,13,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-8,89,1,1,20181019,UTA,GSW,Suns
212794,Shot Chart Detail,21800024,108,201937,Ricky Rubio,1610612762,Utah Jazz,1,4,20,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-143,94,1,1,20181019,UTA,GSW,Suns
212795,Shot Chart Detail,21800024,319,201937,Ricky Rubio,1610612762,Utah Jazz,2,3,22,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-39,274,1,0,20181019,UTA,GSW,Suns
212796,Shot Chart Detail,21800024,342,201937,Ricky Rubio,1610612762,Utah Jazz,2,1,39,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-158,205,1,1,20181019,UTA,GSW,Suns
212797,Shot Chart Detail,21800024,379,201937,Ricky Rubio,1610612762,Utah Jazz,3,10,5,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-95,84,1,0,20181019,UTA,GSW,Suns
212798,Shot Chart Detail,21800024,392,201937,Ricky Rubio,1610612762,Utah Jazz,3,8,54,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-16,253,1,1,20181019,UTA,GSW,Suns
212799,Shot Chart Detail,21800024,397,201937,Ricky Rubio,1610612762,Utah Jazz,3,8,28,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,36,248,1,0,20181019,UTA,GSW,Suns
212800,Shot Chart Detail,21800024,442,201937,Ricky Rubio,1610612762,Utah Jazz,3,5,4,Missed Shot,Jump Shot,3PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,21,-218,25,1,0,20181019,UTA,GSW,Suns
212801,Shot Chart Detail,21800024,587,201937,Ricky Rubio,1610612762,Utah Jazz,4,7,39,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,27,13,1,0,20181019,UTA,GSW,Suns
212802,Shot Chart Detail,21800024,634,201937,Ricky Rubio,1610612762,Utah Jazz,4,3,51,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,138,225,1,1,20181019,UTA,GSW,Suns
212803,Shot Chart Detail,21800045,24,201937,Ricky Rubio,1610612762,Utah Jazz,1,9,51,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-217,131,1,0,20181022,UTA,MEM,Suns
212804,Shot Chart Detail,21800045,34,201937,Ricky Rubio,1610612762,Utah Jazz,1,9,4,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,100,236,1,1,20181022,UTA,MEM,Suns
212805,Shot Chart Detail,21800045,38,201937,Ricky Rubio,1610612762,Utah Jazz,1,8,24,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-168,52,1,0,20181022,UTA,MEM,Suns
212806,Shot Chart Detail,21800045,245,201937,Ricky Rubio,1610612762,Utah Jazz,2,5,20,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-132,142,1,0,20181022,UTA,MEM,Suns
