id,grid_type,game_id,game_event_id,player_id,player_name,team_id,team_name,period,minutes_remaining,seconds_remaining,event_type,action_type,shot_type,shot_zone_basic,shot_zone_area,shot_zone_range,shot_distance,loc_x,loc_y,shot_attempted_flag,shot_made_flag,game_date,htm,vtm,current_team
217180,Shot Chart Detail,21800009,21,101108,Chris Paul,1610612745,Houston Rockets,1,10,8,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,122,225,1,1,20181017,HOU,NOP,Thunder
217181,Shot Chart Detail,21800009,145,101108,Chris Paul,1610612745,Houston Rockets,1,1,2,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,100,230,1,1,20181017,HOU,NOP,Thunder
217182,Shot Chart Detail,21800009,184,101108,Chris Paul,1610612745,Houston Rockets,2,10,43,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,2,262,1,0,20181017,HOU,NOP,Thunder
217183,Shot Chart Detail,21800009,192,101108,Chris Paul,1610612745,Houston Rockets,2,9,50,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,107,236,1,0,20181017,HOU,NOP,Thunder
217184,Shot Chart Detail,21800009,206,101108,Chris Paul,1610612745,Houston Rockets,2,8,27,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-77,252,1,0,20181017,HOU,NOP,Thunder
217185,Shot Chart Detail,21800009,346,101108,Chris Paul,1610612745,Houston Rockets,2,0,26,Missed Shot,Step Back Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,6,1,0,20181017,HOU,NOP,Thunder
217186,Shot Chart Detail,21800009,388,101108,Chris Paul,1610612745,Houston Rockets,3,9,48,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-4,109,1,1,20181017,HOU,NOP,Thunder
217187,Shot Chart Detail,21800009,424,101108,Chris Paul,1610612745,Houston Rockets,3,5,54,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,52,13,1,0,20181017,HOU,NOP,Thunder
217188,Shot Chart Detail,21800009,575,101108,Chris Paul,1610612745,Houston Rockets,4,9,43,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-98,78,1,0,20181017,HOU,NOP,Thunder
217189,Shot Chart Detail,21800009,598,101108,Chris Paul,1610612745,Houston Rockets,4,8,30,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,41,90,1,1,20181017,HOU,NOP,Thunder
217190,Shot Chart Detail,21800009,699,101108,Chris Paul,1610612745,Houston Rockets,4,1,35,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,2,100,1,1,20181017,HOU,NOP,Thunder
217191,Shot Chart Detail,21800009,721,101108,Chris Paul,1610612745,Houston Rockets,4,1,0,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-13,241,1,1,20181017,HOU,NOP,Thunder
217192,Shot Chart Detail,21800035,10,101108,Chris Paul,1610612745,Houston Rockets,1,11,20,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-5,262,1,1,20181020,LAL,HOU,Thunder
217193,Shot Chart Detail,21800035,36,101108,Chris Paul,1610612745,Houston Rockets,1,8,12,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,30,104,1,0,20181020,LAL,HOU,Thunder
217194,Shot Chart Detail,21800035,46,101108,Chris Paul,1610612745,Houston Rockets,1,7,12,Missed Shot,Step Back Jump shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-240,36,1,0,20181020,LAL,HOU,Thunder
217195,Shot Chart Detail,21800035,195,101108,Chris Paul,1610612745,Houston Rockets,2,11,18,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,10,1,1,20181020,LAL,HOU,Thunder
217196,Shot Chart Detail,21800035,213,101108,Chris Paul,1610612745,Houston Rockets,2,9,53,Missed Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-14,126,1,0,20181020,LAL,HOU,Thunder
217197,Shot Chart Detail,21800035,223,101108,Chris Paul,1610612745,Houston Rockets,2,8,29,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,113,236,1,1,20181020,LAL,HOU,Thunder
217198,Shot Chart Detail,21800035,238,101108,Chris Paul,1610612745,Houston Rockets,2,7,9,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-161,202,1,0,20181020,LAL,HOU,Thunder
217199,Shot Chart Detail,21800035,318,101108,Chris Paul,1610612745,Houston Rockets,2,3,13,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,21,1,1,20181020,LAL,HOU,Thunder
217200,Shot Chart Detail,21800035,329,101108,Chris Paul,1610612745,Houston Rockets,2,2,25,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-1,41,1,1,20181020,LAL,HOU,Thunder
217201,Shot Chart Detail,21800035,339,101108,Chris Paul,1610612745,Houston Rockets,2,1,42,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,4,21,1,0,20181020,LAL,HOU,Thunder
217202,Shot Chart Detail,21800035,438,101108,Chris Paul,1610612745,Houston Rockets,3,8,40,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,0,136,1,1,20181020,LAL,HOU,Thunder
217203,Shot Chart Detail,21800035,534,101108,Chris Paul,1610612745,Houston Rockets,3,1,16,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-43,184,1,1,20181020,LAL,HOU,Thunder
217204,Shot Chart Detail,21800035,537,101108,Chris Paul,1610612745,Houston Rockets,3,0,52,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-42,264,1,1,20181020,LAL,HOU,Thunder
217205,Shot Chart Detail,21800035,540,101108,Chris Paul,1610612745,Houston Rockets,3,0,31,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-91,241,1,0,20181020,LAL,HOU,Thunder
217206,Shot Chart Detail,21800035,543,101108,Chris Paul,1610612745,Houston Rockets,3,0,2,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,19,26,1,1,20181020,LAL,HOU,Thunder
217207,Shot Chart Detail,21800035,576,101108,Chris Paul,1610612745,Houston Rockets,4,9,51,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,51,105,1,0,20181020,LAL,HOU,Thunder
217208,Shot Chart Detail,21800035,604,101108,Chris Paul,1610612745,Houston Rockets,4,8,34,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,60,108,1,0,20181020,LAL,HOU,Thunder
217209,Shot Chart Detail,21800070,51,101108,Chris Paul,1610612745,Houston Rockets,1,7,47,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-14,76,1,0,20181026,HOU,LAC,Thunder
217210,Shot Chart Detail,21800070,166,101108,Chris Paul,1610612745,Houston Rockets,1,1,28,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,10,68,1,0,20181026,HOU,LAC,Thunder
217211,Shot Chart Detail,21800070,181,101108,Chris Paul,1610612745,Houston Rockets,1,0,31,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-1,268,1,0,20181026,HOU,LAC,Thunder
217212,Shot Chart Detail,21800070,218,101108,Chris Paul,1610612745,Houston Rockets,2,10,9,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,12,1,1,20181026,HOU,LAC,Thunder
217213,Shot Chart Detail,21800070,318,101108,Chris Paul,1610612745,Houston Rockets,2,3,13,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,43,39,1,0,20181026,HOU,LAC,Thunder
217214,Shot Chart Detail,21800070,351,101108,Chris Paul,1610612745,Houston Rockets,2,0,49,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,108,4,1,0,20181026,HOU,LAC,Thunder
217215,Shot Chart Detail,21800070,359,101108,Chris Paul,1610612745,Houston Rockets,2,0,1,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,2,22,1,0,20181026,HOU,LAC,Thunder
217216,Shot Chart Detail,21800070,400,101108,Chris Paul,1610612745,Houston Rockets,3,9,32,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,36,147,1,1,20181026,HOU,LAC,Thunder
217217,Shot Chart Detail,21800070,435,101108,Chris Paul,1610612745,Houston Rockets,3,6,22,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,46,40,1,0,20181026,HOU,LAC,Thunder
217218,Shot Chart Detail,21800070,552,101108,Chris Paul,1610612745,Houston Rockets,4,10,25,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-35,248,1,0,20181026,HOU,LAC,Thunder
217219,Shot Chart Detail,21800070,558,101108,Chris Paul,1610612745,Houston Rockets,4,9,52,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,81,156,1,0,20181026,HOU,LAC,Thunder
217220,Shot Chart Detail,21800070,588,101108,Chris Paul,1610612745,Houston Rockets,4,7,41,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-21,185,1,1,20181026,HOU,LAC,Thunder
217221,Shot Chart Detail,21800070,597,101108,Chris Paul,1610612745,Houston Rockets,4,6,15,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-2,28,1,0,20181026,HOU,LAC,Thunder
217222,Shot Chart Detail,21800101,29,101108,Chris Paul,1610612745,Houston Rockets,1,9,40,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-10,129,1,0,20181030,HOU,POR,Thunder
217223,Shot Chart Detail,21800101,45,101108,Chris Paul,1610612745,Houston Rockets,1,7,58,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,10,71,80,1,0,20181030,HOU,POR,Thunder
217224,Shot Chart Detail,21800101,144,101108,Chris Paul,1610612745,Houston Rockets,1,0,58,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,141,219,1,0,20181030,HOU,POR,Thunder
217225,Shot Chart Detail,21800101,168,101108,Chris Paul,1610612745,Houston Rockets,2,11,7,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,22,1,0,20181030,HOU,POR,Thunder
217226,Shot Chart Detail,21800101,199,101108,Chris Paul,1610612745,Houston Rockets,2,9,26,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,11,53,1,0,20181030,HOU,POR,Thunder
217227,Shot Chart Detail,21800101,243,101108,Chris Paul,1610612745,Houston Rockets,2,6,49,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-74,251,1,1,20181030,HOU,POR,Thunder
217228,Shot Chart Detail,21800101,262,101108,Chris Paul,1610612745,Houston Rockets,2,4,51,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,26,14,1,0,20181030,HOU,POR,Thunder
217229,Shot Chart Detail,21800101,323,101108,Chris Paul,1610612745,Houston Rockets,2,0,54,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,3,136,1,0,20181030,HOU,POR,Thunder
217230,Shot Chart Detail,21800101,334,101108,Chris Paul,1610612745,Houston Rockets,2,0,0,Missed Shot,Jump Bank Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,32,198,263,1,0,20181030,HOU,POR,Thunder
