id,grid_type,game_id,game_event_id,player_id,player_name,team_id,team_name,period,minutes_remaining,seconds_remaining,event_type,action_type,shot_type,shot_zone_basic,shot_zone_area,shot_zone_range,shot_distance,loc_x,loc_y,shot_attempted_flag,shot_made_flag,game_date,htm,vtm,current_team
220670,Shot Chart Detail,21800010,26,201952,Jeff Teague,1610612750,Minnesota Timberwolves,1,10,2,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,32,6,1,0,20181017,SAS,MIN,Timberwolves
220671,Shot Chart Detail,21800010,99,201952,Jeff Teague,1610612750,Minnesota Timberwolves,1,4,28,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,16,5,1,1,20181017,SAS,MIN,Timberwolves
220672,Shot Chart Detail,21800010,285,201952,Jeff Teague,1610612750,Minnesota Timberwolves,2,4,12,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,5,1,1,20181017,SAS,MIN,Timberwolves
220673,Shot Chart Detail,21800010,301,201952,Jeff Teague,1610612750,Minnesota Timberwolves,2,2,55,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-130,214,1,1,20181017,SAS,MIN,Timberwolves
220674,Shot Chart Detail,21800010,331,201952,Jeff Teague,1610612750,Minnesota Timberwolves,2,1,1,Made Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,7,69,1,1,20181017,SAS,MIN,Timberwolves
220675,Shot Chart Detail,21800010,381,201952,Jeff Teague,1610612750,Minnesota Timberwolves,3,9,1,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,25,1,1,20181017,SAS,MIN,Timberwolves
220676,Shot Chart Detail,21800010,390,201952,Jeff Teague,1610612750,Minnesota Timberwolves,3,8,41,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-1,34,1,1,20181017,SAS,MIN,Timberwolves
220677,Shot Chart Detail,21800010,422,201952,Jeff Teague,1610612750,Minnesota Timberwolves,3,5,41,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-8,90,1,0,20181017,SAS,MIN,Timberwolves
220678,Shot Chart Detail,21800010,439,201952,Jeff Teague,1610612750,Minnesota Timberwolves,3,5,10,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-18,81,1,1,20181017,SAS,MIN,Timberwolves
220679,Shot Chart Detail,21800010,456,201952,Jeff Teague,1610612750,Minnesota Timberwolves,3,3,25,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,4,80,1,0,20181017,SAS,MIN,Timberwolves
220680,Shot Chart Detail,21800010,618,201952,Jeff Teague,1610612750,Minnesota Timberwolves,4,4,48,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-143,209,1,0,20181017,SAS,MIN,Timberwolves
